player_id,sleeper_rank,bye_week,sleeper_proj_dollar
4984,1,7,59
9509,2,11,54
11564,3,11,54
9221,4,6,51
7564,5,6,49
9493,6,11,48
9488,7,11,46
11566,8,7,42
4034,9,8,42
6770,10,6,41
4881,11,13,41
6813,12,13,38
8138,13,7,37
11560,14,10,36
6786,15,14,36
7547,16,6,36
6794,17,6,36
8112,18,11,35
8151,19,5,35
12527,20,13,35
9226,21,6,35
8130,22,14,34
12508,23,8,33
6797,24,7,33
6904,25,10,33
4046,26,5,32
12507,27,7,32
11632,28,8,32
4866,29,10,30
13287,30,14,30
7523,31,7,29
7569,32,8,28
11563,33,10,28
9224,34,6,28
8137,35,14,27
8183,36,8,27
11604,37,13,26
8144,38,8,26
13269,39,13,26
5850,40,11,25
5859,41,11,25
11584,42,10,25
10229,43,5,25
3294,44,14,24
3198,45,13,24
6801,46,6,24
12526,47,5,23
8155,48,13,20
6804,49,11,20
8150,50,11,20
8146,51,13,20
12519,52,10,19
7543,53,8,19
7588,54,14,19
7526,55,10,18
2133,56,11,18
11635,57,7,18
12517,58,10,18
9997,59,13,17
8148,60,6,16
12529,61,11,16
7525,62,10,15
12514,63,10,15
4892,64,10,15
3163,65,6,15
5927,66,7,14
12518,67,13,14
12489,68,10,13
4983,69,7,13
12481,70,8,13
12490,71,7,13
12522,72,9,13
2216,73,8,13
13279,74,9,12
6790,75,10,12
9758,76,8,12
12512,77,11,11
12545,78,8,11
12506,79,11,11
4943,80,11,11
8167,81,11,10
5892,82,8,10
8228,83,9,10
5849,84,6,9
11620,85,10,9
13281,86,8,9
9228,87,5,9
421,88,11,8
9484,89,11,8
5045,90,10,8
7553,91,11,8
5870,92,13,8
8161,93,6,8
5846,94,9,7
7611,95,11,7
10232,96,14,7
13294,97,10,7
5947,98,7,6
11631,99,7,6
12534,100,10,6
10859,101,6,6
10236,102,7,5
11628,103,14,5
5967,104,9,5
7021,105,9,5
12493,106,7,5
7594,107,5,5
11586,108,11,5
11638,109,8,4
8142,110,13,4
4037,111,10,3
9487,112,7,3
3214,113,11,3
5022,114,10,3
6806,115,10,3
5012,116,13,2
8110,117,14,2
5001,118,8,2
9756,119,6,2
13275,120,11,2
4217,121,8,2
8154,122,11,2
7002,123,8,2
9480,124,7,2
8126,125,9,2
1466,126,5,2
6819,127,9,1
13330,128,13,1
9754,129,7,1
4199,130,6,1
7567,131,10,1
8131,132,8,1
2449,133,,1
8132,134,14,1
8121,135,11,1
4137,136,14,1
10222,137,11,1
12533,138,7,1
8134,139,7,1
7049,140,6,1
11624,141,5,1
13286,142,11,1
11603,143,11,1
9753,144,11,1
6768,145,11,1
12484,146,8,1
5844,147,6,1
12474,148,8,1
13298,149,11,1
11559,150,11,1
11565,151,6,1
4033,152,7,1
11646,153,5,1
11655,154,8,1
8408,155,6,1
9500,156,13,1
13337,157,5,1
6865,158,11,1
3257,159,14,1
8210,160,7,1
11589,161,14,1
12524,162,11,1
12498,163,13,1
13345,164,10,1
13349,165,10,1
4035,166,8,1
12487,167,11,1
9508,168,9,1
8136,169,7,1
11597,170,8,1
3321,171,,1
8111,172,10,1
5872,173,,1
13276,174,13,1
12469,175,11,1
12502,176,9,1
13346,177,11,1
13301,178,7,1
12530,179,7,1
7527,180,8,1
9229,181,13,1
12501,182,11,1
6783,183,11,1
11576,184,13,1
1373,185,13,1
8676,186,11,1
11625,187,13,1
9504,188,11,1
13305,189,13,1
11618,190,10,1
11647,191,7,1
10219,192,7,1
11583,193,5,1
11627,194,10,1
12492,195,10,1
9225,196,10,1
12540,197,9,1
9511,198,7,1
6803,199,8,1
8205,200,6,1
8698,201,8,1
9506,202,10,1
12509,203,7,1
4981,204,9,1
13405,205,7,1
13293,206,13,1
12535,207,6,1
12499,208,9,1
11435,209,11,1
4018,210,,1
13320,211,11,1
9502,212,8,1
10213,213,13,1
7591,214,5,1
13404,215,5,1
11575,216,7,1
13288,217,9,1
96,218,9,1
12476,219,8,1
7528,220,,1
12536,221,8,1
11643,222,6,1
12504,223,9,1
13347,224,6,1
9494,225,10,1
12510,226,11,1
13274,227,9,1
7090,228,8,1
12547,229,11,1
13317,230,10,1
9757,231,8,1
8180,232,13,1
12455,233,5,1
11783,234,14,1
12497,235,11,1
1166,236,13,1
13268,237,13,1
13353,238,5,1
12511,239,9,1
13311,240,6,1
7571,241,13,1
1479,242,,1
11637,243,7,1
4039,244,11,1
12457,245,14,1
11579,246,8,1
12483,247,13,1
11834,248,8,1
11569,249,11,1
4950,250,8,1
13285,251,8,1
13278,252,11,1
13401,253,14,1
12500,254,6,1
4017,255,11,1
13417,256,8,1
13303,257,13,1
2307,258,7,1
12470,259,13,1
2306,260,8,1
11557,261,14,1
11256,262,10,1
13272,263,14,1
WAS,264,7,1
TEN,265,9,1
TB,266,10,1
SF,267,8,1
SEA,268,11,1
PIT,269,9,1
PHI,270,10,1
NYJ,271,13,1
NYG,272,8,1
NO,273,8,1
NE,274,11,1
MIN,275,6,1
MIA,276,6,1
LV,277,13,1
LAR,278,11,1
LAC,279,7,1
KC,280,5,1
JAX,281,7,1
IND,282,13,1
HOU,283,8,1
GB,284,11,1
DET,285,6,1
DEN,286,10,1
DAL,287,14,1
CLE,288,11,1
CIN,289,6,1
CHI,290,10,1
CAR,291,5,1
BUF,292,7,1
BAL,293,13,1
ATL,294,11,1
ARI,295,14,1
9999,296,9,1
9998,297,9,1
982,298,,1
9759,299,,1
973,300,,1
964,301,,1
963,302,,1
956,303,,1
954,304,,1
9512,305,,1
9510,306,9,1
9507,307,,1
9505,308,,1
9503,309,,1
9501,310,11,1
9499,311,,1
9498,312,,1
9497,313,8,1
9496,314,,1
9495,315,,1
9492,316,8,1
9491,317,,1
9490,318,11,1
9489,319,13,1
9486,320,10,1
9483,321,,1
9482,322,13,1
9481,323,11,1
9479,324,9,1
947,325,,1
943,326,,1
928,327,,1
9231,328,,1
9230,329,10,1
9227,330,14,1
9223,331,,1
9222,332,,1
9220,333,8,1
902,334,,1
8938,335,,1
8934,336,,1
8931,337,,1
8928,338,,1
8924,339,,1
8921,340,10,1
8917,341,14,1
8915,342,,1
8908,343,,1
8905,344,,1
89,345,,1
8892,346,,1
8891,347,,1
8890,348,,1
8888,349,,1
8885,350,,1
8884,351,,1
8881,352,,1
8878,353,,1
8876,354,,1
8864,355,,1
8863,356,,1
8861,357,11,1
886,358,,1
8858,359,,1
8849,360,8,1
8840,361,,1
8831,362,,1
8828,363,,1
8825,364,,1
8824,365,,1
8820,366,,1
8817,367,,1
8813,368,,1
8809,369,,1
8801,370,10,1
8800,371,14,1
8799,372,8,1
8798,373,,1
8783,374,6,1
8778,375,,1
8770,376,,1
8769,377,,1
8760,378,,1
8757,379,,1
8756,380,13,1
8755,381,10,1
8751,382,,1
8749,383,,1
8747,384,,1
8745,385,9,1
8741,386,,1
8732,387,,1
8731,388,,1
8721,389,,1
8707,390,,1
8706,391,,1
8705,392,,1
8700,393,,1
8699,394,,1
8697,395,,1
8694,396,,1
8690,397,,1
8685,398,,1
868,399,,1
8665,400,,1
8663,401,,1
8660,402,,1
8656,403,,1
8650,404,,1
8638,405,,1
8634,406,,1
8633,407,,1
8632,408,,1
8628,409,,1
8624,410,,1
8621,411,,1
862,412,,1
8613,413,,1
8602,414,,1
8595,415,,1
8589,416,,1
8583,417,10,1
8581,418,,1
8579,419,,1
8575,420,,1
8573,421,,1
8572,422,,1
8571,423,,1
8570,424,,1
8568,425,,1
8560,426,,1
8559,427,,1
8553,428,,1
8549,429,,1
8543,430,,1
8539,431,,1
8527,432,13,1
8523,433,,1
8500,434,,1
8489,435,13,1
8484,436,10,1
8475,437,,1
8442,438,,1
8441,439,,1
8439,440,,1
8438,441,,1
8437,442,,1
8436,443,,1
8435,444,,1
8433,445,,1
8431,446,,1
8429,447,,1
8428,448,,1
8424,449,,1
8423,450,10,1
8421,451,,1
8420,452,,1
8419,453,,1
8418,454,,1
8416,455,7,1
8414,456,10,1
8413,457,5,1
8411,458,,1
8410,459,,1
8409,460,,1
8407,461,,1
830,462,,1
829,463,10,1
827,464,11,1
8255,465,,1
8254,466,9,1
8253,467,13,1
8252,468,,1
8251,469,,1
8250,470,6,1
8249,471,10,1
8248,472,,1
8247,473,,1
8246,474,,1
8245,475,,1
8243,476,,1
8242,477,,1
8241,478,,1
8240,479,,1
8239,480,,1
8238,481,,1
8236,482,,1
8235,483,10,1
8234,484,,1
8233,485,,1
8232,486,,1
8230,487,8,1
8229,488,,1
8227,489,14,1
8226,490,,1
8225,491,9,1
8224,492,,1
8223,493,11,1
8222,494,,1
8221,495,,1
8220,496,8,1
8219,497,13,1
8218,498,,1
8217,499,,1
8215,500,,1
8214,501,6,1
8213,502,,1
8212,503,,1
8211,504,,1
8209,505,,1
8208,506,10,1
8207,507,11,1
8206,508,13,1
8204,509,11,1
8203,510,,1
8202,511,10,1
8201,512,,1
8200,513,8,1
8199,514,,1
8198,515,,1
8197,516,,1
8196,517,,1
8195,518,11,1
8194,519,,1
8193,520,,1
8192,521,,1
8191,522,,1
8190,523,,1
8189,524,,1
8188,525,5,1
8187,526,,1
8186,527,,1
8185,528,,1
8184,529,,1
8182,530,,1
8181,531,13,1
818,532,,1
8179,533,,1
8178,534,,1
8177,535,10,1
8176,536,10,1
8175,537,,1
8174,538,,1
8173,539,,1
8172,540,6,1
8171,541,,1
8170,542,5,1
8169,543,,1
8168,544,11,1
8166,545,,1
8164,546,,1
8162,547,14,1
8160,548,5,1
8159,549,,1
8158,550,,1
8157,551,13,1
8153,552,,1
8152,553,,1
8149,554,,1
8147,555,5,1
8145,556,13,1
8143,557,7,1
8140,558,,1
8139,559,,1
8135,560,7,1
8129,561,10,1
8127,562,7,1
8125,563,8,1
8123,564,,1
8122,565,14,1
8120,566,,1
812,567,11,1
8119,568,11,1
8118,569,,1
8117,570,6,1
8116,571,11,1
8115,572,,1
8114,573,10,1
8108,574,,1
8107,575,10,1
8105,576,,1
8103,577,,1
8102,578,,1
8101,579,,1
8095,580,,1
8094,581,,1
8092,582,,1
8090,583,,1
8089,584,,1
8088,585,6,1
8087,586,,1
8085,587,,1
8077,588,,1
8076,589,10,1
8074,590,,1
8070,591,,1
8068,592,,1
8061,593,,1
8058,594,,1
8057,595,,1
8052,596,,1
8051,597,,1
8041,598,7,1
8039,599,,1
8038,600,,1
8033,601,,1
8027,602,,1
8026,603,,1
8025,604,10,1
8021,605,,1
8019,606,,1
8018,607,,1
8013,608,7,1
801,609,,1
8008,610,,1
8005,611,6,1
8002,612,7,1
7996,613,,1
7993,614,,1
7992,615,,1
7990,616,,1
7989,617,,1
7988,618,,1
7985,619,,1
7983,620,,1
7980,621,,1
7978,622,,1
7972,623,,1
7960,624,,1
7956,625,,1
7954,626,,1
7951,627,,1
7949,628,,1
7946,629,11,1
7944,630,,1
7943,631,,1
7941,632,,1
7938,633,,1
7935,634,,1
7926,635,,1
7918,636,,1
7915,637,,1
7905,638,,1
7904,639,,1
7903,640,,1
7901,641,,1
7899,642,,1
7897,643,,1
7893,644,,1
7891,645,6,1
7890,646,,1
7885,647,,1
788,648,,1
7874,649,,1
7868,650,5,1
7867,651,,1
7865,652,9,1
7864,653,,1
7863,654,,1
7862,655,,1
7860,656,,1
7859,657,,1
7858,658,,1
7854,659,,1
7852,660,,1
7848,661,,1
7842,662,8,1
7828,663,5,1
7812,664,14,1
7809,665,,1
7808,666,,1
7794,667,,1
7793,668,,1
7789,669,,1
7771,670,,1
7757,671,9,1
7752,672,,1
7751,673,,1
7746,674,7,1
7744,675,,1
7741,676,,1
7735,677,,1
7734,678,,1
7733,679,,1
7729,680,,1
7720,681,13,1
7716,682,7,1
7713,683,,1
7703,684,,1
7694,685,5,1
7670,686,7,1
7624,687,,1
7623,688,,1
7622,689,,1
7619,690,,1
7618,691,5,1
7616,692,,1
7614,693,,1
7613,694,,1
7612,695,,1
7610,696,7,1
7609,697,,1
7608,698,,1
7607,699,9,1
7606,700,,1
7605,701,,1
7603,702,,1
7602,703,9,1
7601,704,,1
7600,705,9,1
7599,706,,1
7597,707,14,1
7596,708,10,1
7595,709,11,1
7593,710,,1
7589,711,,1
7587,712,7,1
7586,713,,1
7585,714,8,1
7584,715,,1
7583,716,10,1
7582,717,,1
7581,718,,1
7580,719,,1
7579,720,,1
7578,721,,1
7576,722,,1
7574,723,,1
7573,724,,1
7572,725,,1
7568,726,8,1
7565,727,6,1
7563,728,,1
7562,729,6,1
7561,730,10,1
7560,731,,1
7559,732,14,1
7558,733,,1
7556,734,,1
7555,735,,1
7554,736,,1
7552,737,,1
7551,738,,1
7550,739,,1
7549,740,,1
7548,741,,1
7546,742,,1
7545,743,,1
7541,744,,1
7540,745,,1
7539,746,,1
7538,747,8,1
7537,748,7,1
7536,749,7,1
7535,750,7,1
7534,751,,1
7533,752,,1
7532,753,,1
7531,754,5,1
7530,755,,1
7529,756,6,1
7522,757,,1
7521,758,11,1
7503,759,,1
7502,760,,1
7499,761,,1
7496,762,13,1
7483,763,,1
7481,764,,1
7475,765,,1
7466,766,,1
7465,767,,1
7464,768,,1
7462,769,,1
7460,770,,1
7458,771,,1
7457,772,,1
7455,773,,1
7454,774,,1
7452,775,,1
745,776,,1
7439,777,,1
7438,778,,1
7436,779,9,1
7435,780,,1
7427,781,,1
7426,782,,1
7425,783,,1
7424,784,,1
7420,785,,1
7418,786,,1
7414,787,,1
7412,788,,1
7407,789,,1
7404,790,,1
7401,791,,1
7400,792,,1
7397,793,,1
7396,794,,1
7395,795,,1
7394,796,,1
7387,797,,1
7379,798,,1
7378,799,,1
7376,800,,1
7370,801,,1
7368,802,,1
7367,803,,1
7359,804,,1
7358,805,,1
7357,806,5,1
7352,807,,1
7351,808,,1
7340,809,,1
7339,810,,1
7337,811,,1
7336,812,,1
7335,813,,1
7334,814,,1
7320,815,,1
7319,816,,1
7318,817,,1
7317,818,,1
7316,819,,1
7315,820,,1
7309,821,,1
7308,822,,1
7299,823,,1
7288,824,,1
7287,825,,1
7286,826,,1
7279,827,,1
7274,828,,1
7272,829,,1
7264,830,,1
7262,831,13,1
7258,832,,1
7245,833,,1
7244,834,,1
7243,835,,1
7237,836,,1
7236,837,,1
7235,838,,1
7234,839,,1
7233,840,,1
7228,841,,1
7227,842,,1
7218,843,,1
7217,844,,1
7216,845,,1
7212,846,,1
7211,847,,1
7210,848,,1
7204,849,11,1
7191,850,,1
7190,851,,1
7176,852,,1
7175,853,,1
7174,854,,1
7173,855,,1
7172,856,,1
7162,857,,1
7161,858,,1
7159,859,,1
7158,860,,1
7157,861,,1
7156,862,,1
7149,863,8,1
7143,864,,1
7135,865,,1
7131,866,,1
7109,867,,1
7107,868,,1
7106,869,7,1
7103,870,14,1
7101,871,,1
7100,872,,1
7098,873,,1
7093,874,10,1
7092,875,,1
7091,876,,1
7088,877,,1
7087,878,,1
7086,879,,1
7085,880,,1
7084,881,,1
7083,882,13,1
7082,883,,1
7081,884,,1
7080,885,,1
7079,886,,1
7078,887,,1
7076,888,,1
7075,889,11,1
7066,890,9,1
7065,891,,1
7064,892,,1
7063,893,,1
7056,894,,1
7055,895,,1
7050,896,,1
7048,897,11,1
7045,898,,1
7039,899,11,1
7038,900,,1
7035,901,,1
7032,902,,1
7015,903,,1
7013,904,,1
7009,905,,1
7008,906,,1
7005,907,,1
7001,908,,1
6996,909,,1
6993,910,,1
6992,911,6,1
6989,912,,1
6988,913,,1
6985,914,,1
6984,915,,1
6982,916,,1
6973,917,,1
6970,918,,1
6967,919,,1
6966,920,,1
6964,921,13,1
6963,922,8,1
6960,923,14,1
6959,924,,1
6957,925,,1
6956,926,,1
6955,927,,1
6954,928,,1
6951,929,,1
695,930,,1
6945,931,,1
6943,932,,1
6939,933,,1
6938,934,,1
6932,935,,1
6931,936,7,1
6927,937,10,1
6926,938,,1
6920,939,8,1
6919,940,,1
6918,941,10,1
6913,942,,1
6909,943,,1
6908,944,,1
6906,945,,1
6898,946,,1
6895,947,,1
6894,948,,1
6892,949,,1
6886,950,,1
6885,951,,1
6879,952,,1
6878,953,,1
6873,954,,1
6870,955,,1
6869,956,10,1
6866,957,7,1
6857,958,,1
6853,959,7,1
6850,960,,1
6849,961,14,1
6847,962,14,1
6846,963,,1
6845,964,,1
6843,965,13,1
6834,966,,1
6832,967,,1
6828,968,5,1
6826,969,10,1
6824,970,,1
6823,971,,1
6822,972,,1
6820,973,,1
6814,974,,1
6805,975,,1
6798,976,6,1
6789,977,,1
6778,978,,1
6763,979,,1
6762,980,,1
676,981,,1
6755,982,,1
6753,983,,1
6744,984,,1
6742,985,,1
6737,986,,1
6730,987,,1
6728,988,,1
6727,989,,1
6723,990,,1
6713,991,,1
6712,992,,1
6710,993,,1
6705,994,,1
6701,995,,1
6700,996,,1
6699,997,8,1
6697,998,,1
6694,999,,1
6692,1000,,1
6686,1001,,1
6685,1002,,1
6665,1003,,1
6664,1004,,1
6663,1005,,1
6662,1006,,1
6661,1007,,1
6659,1008,,1
6637,1009,,1
663,1010,,1
6629,1011,,1
6628,1012,,1
6626,1013,,1
6618,1014,,1
6617,1015,,1
6606,1016,,1
6605,1017,,1
6598,1018,,1
6596,1019,,1
6595,1020,,1
6593,1021,,1
6592,1022,,1
6591,1023,,1
6590,1024,,1
6588,1025,6,1
6586,1026,,1
6585,1027,,1
6557,1028,,1
6554,1029,,1
6553,1030,,1
6552,1031,,1
6549,1032,,1
6548,1033,,1
6540,1034,11,1
6539,1035,,1
6535,1036,,1
6529,1037,,1
6524,1038,,1
6522,1039,,1
6519,1040,,1
6506,1041,,1
6501,1042,,1
6493,1043,,1
6492,1044,,1
6491,1045,,1
6490,1046,,1
6489,1047,,1
6487,1048,,1
6469,1049,,1
6468,1050,,1
6465,1051,10,1
6462,1052,,1
6460,1053,,1
6459,1054,,1
6453,1055,,1
6451,1056,10,1
6450,1057,,1
6449,1058,,1
6448,1059,,1
6446,1060,,1
6443,1061,,1
6439,1062,,1
6438,1063,,1
6435,1064,,1
6427,1065,13,1
6421,1066,,1
6420,1067,,1
642,1068,,1
6402,1069,,1
6401,1070,,1
6399,1071,,1
6396,1072,,1
6395,1073,,1
6394,1074,,1
6392,1075,,1
6389,1076,,1
6388,1077,,1
6387,1078,,1
6386,1079,,1
6385,1080,,1
6384,1081,,1
6381,1082,,1
6380,1083,,1
6379,1084,,1
6375,1085,,1
6374,1086,,1
6373,1087,,1
6372,1088,,1
6371,1089,,1
6370,1090,,1
6365,1091,,1
6364,1092,,1
6363,1093,,1
6362,1094,,1
6361,1095,,1
6359,1096,,1
6358,1097,,1
6357,1098,,1
6352,1099,,1
6343,1100,,1
6342,1101,,1
6334,1102,,1
6323,1103,13,1
6322,1104,,1
6320,1105,,1
6318,1106,,1
6317,1107,,1
6311,1108,,1
6308,1109,,1
6298,1110,,1
6293,1111,,1
6290,1112,10,1
6288,1113,,1
6279,1114,,1
6271,1115,11,1
627,1116,,1
6269,1117,,1
6263,1118,,1
6261,1119,,1
6260,1120,,1
6259,1121,,1
6248,1122,,1
6247,1123,,1
6246,1124,,1
6239,1125,,1
6238,1126,,1
6237,1127,,1
6236,1128,,1
6234,1129,,1
6233,1130,,1
6231,1131,,1
6227,1132,,1
6223,1133,,1
6209,1134,,1
6205,1135,,1
